date,location,time,unknown,day
14/07/2017,Domino's Pizza,13:10:24,1,WD
5/2/2017,Francesco's Pizzeria,1:16:27,1,WE
14/04/2017,Sai Sagar,14:55:06,2,WD
27/04/2017,Sandrich,13:12:46,3,WD
20/03/2017,Swastik,8:37:30,3,WD
29/04/2017,Geeta Fast Food,20:53:20,3,WE
27/05/2017,7th Heaven,23:34:46,3,WE
20/07/2017,Dairy Don,18:52:19,4,WD
26/01/2017,Zeal 3 Seasons Family Restaurant & Bar,2:51:35,4,WD
22/01/2017,Tindees QSR,19:02:22,4,WE
2/9/2017,Geeta Fast Food,13:23:35,4,WE
12/2/2017,Geeta Fast Food,9:19:09,4,WE
4/6/2017,Saarthi,15:20:05,4,WE
22/07/2017,Bombay Burger's,1:49:03,4,WE
26/02/2017,Gupta Sandwiches & Snacks,17:18:21,4,WE
5/6/2017,Domino's Pizza,15:42:11,5,WD
25/06/2017,Bombay Burger's,20:57:26,5,WE
5/8/2017,Domino's Pizza,23:14:51,5,WE
13/02/2017,Lomchin Wok,22:12:11,6,WD
13/08/2017,Gupta Sandwiches & Snacks,16:22:24,6,WE
1/1/2017,Sandrich,14:59:33,6,WE
27/08/2017,Canvas Laugh Club,3:04:13,6,WE
14/01/2017,Slice of Lime,17:00:41,7,WE
8/1/2017,Prithika Hotel,4:20:57,7,WE
7/10/2017,Dairy Don,17:45:27,7,WE
3/9/2017,126 East,23:17:54,8,WE
9/9/2017,Domino's Pizza,22:02:35,8,WE
23/06/2017,Tamarind,14:59:22,9,WD
10/4/2017,Golden Jade - Ramada,9:28:57,9,WD
15/05/2017,7th Heaven,3:52:06,9,WD
16/04/2017,Gupta Sandwiches & Snacks,1:08:09,9,WE
22/04/2017,Tamarind,18:52:38,9,WE
12/2/2017,Tamarind,11:57:18,9,WE
20/03/2017,Canvas Laugh Club,4:55:32,10,WD
14/05/2017,Rassam Express,9:46:20,10,WE
1/1/2017,Swastik,13:04:05,10,WE
30/01/2017,SR Restaurant and Lounge,7:09:55,11,WD
22/09/2017,SR Restaurant and Lounge,23:54:11,11,WD
10/3/2017,Dairy Don,6:00:05,11,WD
4/6/2017,Sai Sagar,22:12:02,11,WE
21/05/2017,Rassam Express,18:32:30,11,WE
9/7/2017,Sandrich,18:06:57,11,WE
18/03/2017,Saarthi,18:58:31,11,WE
29/07/2017,Sandrich,2:04:28,12,WE
25/03/2017,Prithika Hotel,15:57:15,12,WE
7/8/2017,Francesco's Pizzeria,17:20:51,13,WD
19/09/2017,Sai Sagar,2:46:03,13,WD
16/07/2017,Sandrich,7:14:30,13,WE
8/4/2017,The Spot,11:08:54,13,WE
8/7/2017,Domino's Pizza,5:21:58,13,WE
20/03/2017,Tindees QSR,21:24:05,14,WD
4/2/2017,Domino's Pizza,17:52:26,14,WE
13/08/2017,Sandrich,15:52:34,14,WE
7/3/2017,Geeta Fast Food,3:27:56,15,WD
4/7/2017,Prithika Hotel,1:25:41,15,WD
18/03/2017,Swastik,0:34:01,15,WE
29/04/2017,Sandrich,13:17:21,15,WE
4/3/2017,Sandrich,2:43:32,16,WE
11/2/2017,Prasad Food Divine,7:17:08,16,WE
23/07/2017,Tindees QSR,3:02:58,17,WE
11/6/2017,7th Heaven,6:04:12,17,WE
16/07/2017,Tindees QSR,7:01:44,17,WE
16/06/2017,Dairy Don,17:48:25,18,WD
12/1/2017,Varsha,16:36:14,18,WD
21/04/2017,Tamarind,16:10:17,18,WD
31/07/2017,Golden Jade - Ramada,3:13:13,20,WD
15/08/2017,BOX8 - Desi Meals,18:37:01,20,WD
3/6/2017,Peche Mignon - Novotel,14:17:11,20,WE
2/9/2017,Sandrich,2:59:00,21,WE
20/05/2017,Gupta Sandwiches & Snacks,4:31:06,21,WE
14/05/2017,Sai Sagar,20:02:36,22,WE
10/6/2017,Sandrich,20:54:16,23,WE
13/05/2017,Prithika Hotel,2:20:44,23,WE
10/5/2017,Swastik,12:27:15,24,WD
21/01/2017,Geeta Fast Food,19:00:00,24,WE
25/03/2017,StreetO,1:46:25,24,WE
27/04/2017,StreetO,10:24:11,25,WD
26/07/2017,Geeta Fast Food,1:46:59,25,WD
27/03/2017,Sai Sagar,21:29:29,25,WD
14/03/2017,Prithika Hotel,19:53:12,25,WD
11/2/2017,Swastik,0:02:37,25,WE
17/09/2017,Saarthi,11:13:22,25,WE
18/03/2017,Swastik,0:38:13,25,WE
5/4/2017,Swastik,10:49:49,26,WD
31/08/2017,Slice of Lime,16:35:53,26,WD
13/09/2017,Sleight of Hand,21:35:47,26,WD
7/1/2017,Bombay Burger's,10:16:52,26,WE
2/9/2017,Sai Sagar,2:52:44,26,WE
23/02/2017,Gupta Sandwiches & Snacks,8:02:00,27,WD
16/08/2017,The Spot,11:53:23,27,WD
2/7/2017,Sandrich,17:58:00,27,WE
25/03/2017,Dairy Don,20:17:44,27,WE
12/2/2017,Sandrich,9:16:56,27,WE
16/04/2017,Saarthi,4:35:46,28,WE
9/7/2017,Kosmic Sheesha Lounge,5:38:52,28,WE
22/07/2017,Slice of Lime,1:54:45,28,WE
19/02/2017,The Tuck Box,17:29:02,28,WE
6/3/2017,Geeta Fast Food,6:44:44,29,WD
9/4/2017,Swastik,4:00:41,29,WE
5/2/2017,Rassam Express,14:59:24,29,WE
21/06/2017,Tamarind,17:04:09,30,WD
2/2/2017,Tindees QSR,4:48:37,30,WD
20/08/2017,Bombay Burger's,13:19:53,30,WE
17/09/2017,BOX8 - Desi Meals,7:53:48,30,WE
19/02/2017,Vedge,2:38:58,30,WE
17/06/2017,Sai Sagar,3:03:38,30,WE
26/08/2017,Sai Sagar,3:42:21,30,WE
15/04/2017,Geeta Fast Food,0:04:29,30,WE
